datetime,limit_price,filled,entry_bid,entry_ask,entry_spread,n_snapshots,fallback_price,target,pred_median,direction,size,imb_settlement_price,pnl_limit,pnl_fallback
2026-03-07 16:00:00,111.67,True,110.48,111.67,1.1899999999999977,55,119.83,-12.403,4.4898729786816025,surplus,4.4898729786816025,158.89525,-53.00884347162084,-43.84950259511037
2026-03-07 17:00:00,145.28,True,144.94,145.28,0.3400000000000034,55,136.36,-7.141,3.5703967411191124,surplus,3.5703967411191124,178.1526,-29.34205597802804,-37.30404071072365
2026-03-07 17:45:00,191.79,True,191.79,196.56,4.77000000000001,55,187.84,-6.751,-3.904138064711874,deficit,3.904138064711874,178.1526,-13.310573110925414,-9.455236772022449
2026-03-07 18:15:00,187.1,True,187.1,187.8,0.700000000000017,55,189.79,-12.094,-4.66739112344378,deficit,4.66739112344378,207.007925,23.229518107796135,20.090697577280196
2026-03-07 18:30:00,200.3,True,200.3,202.3,2.0,55,193.9,-24.334,-3.448476340524265,deficit,3.448476340524265,207.007925,5.783030164127798,11.300592308966626
2026-03-07 19:00:00,197.66,True,197.66,198.94,1.2800000000000011,55,201.04,-20.722,-4.8915257062513735,deficit,4.8915257062513735,186.5216,-13.620942481627562,-17.75428170340997
2026-03-07 19:15:00,178.8,True,178.8,180.01,1.2099999999999795,55,176.74,-17.577,-8.120866468572347,deficit,5.0,186.5216,9.651999999999994,12.226999999999997
2026-03-07 19:30:00,165.1,True,165.1,165.94,0.8400000000000034,48,,-16.102,-6.0271060049812455,deficit,5.0,186.5216,26.777000000000015,
2026-03-07 19:45:00,157.3,True,157.3,159.4,2.0999999999999943,33,,-16.096,-5.966140377147085,deficit,5.0,186.5216,36.526999999999994,
2026-03-07 20:00:00,169.0,True,169.0,169.85,0.8499999999999943,18,,-2.615,-3.528266681581984,deficit,3.528266681581984,166.93304999999998,-1.823187704373988,
2026-03-09 01:30:00,116.63,True,116.63,117.51,0.8800000000000097,52,126.59,-3.416,-4.212754300578758,deficit,4.212754300578758,133.02855,17.270765508938947,6.781007300497832
2026-03-09 02:00:00,121.3,True,121.3,122.67,1.3700000000000045,53,124.93,-8.653,-4.965601617959454,deficit,4.965601617959454,127.833,8.110068842532279,3.603785374234063
2026-03-09 02:15:00,120.19,True,120.19,,,54,113.1,-9.705,-5.173134443733638,deficit,5.0,127.833,9.55375,18.416250000000005
2026-03-09 02:30:00,119.61,True,119.61,122.3,2.6899999999999977,55,111.19,-13.225,-5.531175970674391,deficit,5.0,127.833,10.278749999999999,20.80375
2026-03-09 02:45:00,114.31,True,114.31,,,55,117.68,-7.152,-3.664996431151907,deficit,3.664996431151907,127.833,12.390436684616805,9.30267719137132
2026-03-09 03:00:00,113.97,False,113.97,,,50,119.44,-10.164,-6.215469492307328,deficit,5.0,129.0445,18.843125,12.005625000000002
2026-03-09 03:15:00,115.2,True,115.2,116.1,0.8999999999999915,52,120.58,-10.138,-4.993319467927286,deficit,4.993319467927286,129.0445,17.282502843429825,10.56648815906763
2026-03-09 03:45:00,116.92,False,116.92,,,55,118.52,-5.557,-4.447691538025974,deficit,4.447691538025974,129.0445,13.481509013198977,11.702432397988595
2026-03-09 04:00:00,116.77,True,116.77,,,55,118.82,-4.485,-4.045276827934623,deficit,4.045276827934623,135.426975,18.868157161713896,16.794952787397403
2026-03-09 04:30:00,119.85,True,119.85,122.75,2.9000000000000057,54,120.14,-6.06,-4.468462525461264,deficit,4.468462525461264,135.426975,17.40128226188675,17.0773187287908
